作品ID,タイトル,クレジット（別PN）,初出年,初出掲載誌,評価,レビュー
84129,ひんにゅう小悪魔 睡魔&淫夢〜2015秋〜読み切り成人指定ひんにゅう小悪魔 睡魔&淫夢;ヒンニュウコアクマスイマアンドインム;;〜2015秋〜;ニセンジュウゴアキ;ひんにゅうこあくますいまあんどいんむ;にせんじゅうごあき  ヒンニュウコアクマスイマアンドインム ひんにゅうこあくますいまあんどいんむ ニセンジュウゴアキ にせんじゅうごあき,（あ〜る・こが）,2015年,コミック・マショウ,0,
84130,ひんにゅう小悪魔 睡魔&淫夢〜2017〜読み切り成人指定ひんにゅう小悪魔 睡魔&淫夢;ヒンニュウコアクマスイマアンドインム;;〜2017〜;ニセンジュウナナ;ひんにゅうこあくますいまあんどいんむ;にせんじゅうなな  ヒンニュウコアクマスイマアンドインム ひんにゅうこあくますいまあんどいんむ ニセンジュウナナ にせんじゅうなな,（あ〜る・こが）,2017年,コミック・マショウ,0,
33188,Final Ties連載終了Final Ties;ファイナルタイズ;;ふぁいなるたいず  ファイナルタイズ ふぁいなるたいず,（きもと稲葉）,1996年,ヤングキングアワーズ,0,
32633,風子のその後読み切り成人指定;;;;;ふうこのそのご;フウコノソノゴ;風子のその後  フウコノソノゴ ふうこのそのご,（あ〜る・こが）,2001年,COMIC桃姫,0,
84128,ぷらいべ〜とアシスタント with ひんにゅう小悪魔読み切り成人指定ぷらいべ〜とアシスタント with ひんにゅう小悪魔;プライベートアシスタントウィズヒンニュウコアクマ;;ぷらいべーとあしすたんとうぃずひんにゅうこあくま  プライベートアシスタントウィズヒンニュウコアクマ ぷらいべーとあしすたんとうぃずひんにゅうこあくま,（あ〜る・こが）,2014年,コミック・マショウ,0,
32641,放課後H倶楽部連載終了成人指定;;;;;ほうかごえっちくらぶ;ホウカゴエッチクラブ;放課後H倶楽部  ホウカゴエッチクラブ ほうかごえっちくらぶ,（あ〜る・こが）,2000年,COMIC桃姫,0,
32651,ボクだけのネコみみメイドさん読み切り成人指定ボクだけのネコみみメイドさん;ボクダケノネコミミメイドサン;;ぼくだけのねこみみめいどさん  ボクダケノネコミミメイドサン ぼくだけのねこみみめいどさん,（あ〜る・こが）,1999年,COMICコーヒーブレイク,0,
32648,My Girlhood Friend読み切り成人指定My Girlhood Friend;マイガールフッドフレンド;;まいがーるふっどふれんど  マイガールフッドフレンド まいがーるふっどふれんど,（あ〜る・こが）,,COMICコーヒーブレイク,0,
32612,祭り囃子が遠くの方で成人指定;;;;まつりばやしがとおくのほうで;マツリバヤシガトオクノホウデ;祭り囃子が遠くの方で  マツリバヤシガトオクノホウデ まつりばやしがとおくのほうで,（あ〜る・こが）,,,0,
32654,まなみの愛。読み切り成人指定;;;;;まなみのあい;まなみの愛。;マナミノアイ  マナミノアイ まなみのあい,（あ〜る・こが）,,同人誌,0,
